parent,node,branch.length,label,isTip,x,y,branch,angle
18,1,2130,PD46568b_lo0002,TRUE,2159,3,1094,77.1428571428571
18,2,2137,PD46568b_lo0019,TRUE,2166,4,1097.5,102.857142857143
19,3,1588,PD46568b_lo0004,TRUE,1623,5,829,128.571428571429
19,4,1974,PD46568b_lo0005,TRUE,2009,6,1022,154.285714285714
20,5,855,PD46568b_lo0007,TRUE,1948,1,1520.5,25.7142857142857
20,6,965,PD46568b_lo0009,TRUE,2058,2,1575.5,51.4285714285714
21,7,1945,PD46568b_lo0010,TRUE,1954,7,981.5,180
25,8,667,PD46568b_lo0011,TRUE,2015,10,1681.5,257.142857142857
25,9,724,PD46568b_lo0012,TRUE,2072,11,1710,282.857142857143
27,10,143,PD46568b_lo0013,TRUE,2044,13,1972.5,334.285714285714
27,11,152,PD46568b_lo0014,TRUE,2053,14,1977,360
26,12,986,PD46568b_lo0015,TRUE,2021,12,1528,308.571428571429
23,13,1968,PD46568b_lo0016,TRUE,2012,9,1028,231.428571428571
22,14,1965,PD46568b_lo0017,TRUE,1984,8,1001.5,205.714285714286
15,15,0,,FALSE,0,5.5390625,0,142.433035714286
15,16,3,99,FALSE,3,3,1.5,77.1428571428571
16,17,5,100,FALSE,8,4.5,5.5,115.714285714286
17,18,21,100,FALSE,29,3.5,18.5,90
17,19,27,100,FALSE,35,5.5,21.5,141.428571428571
16,20,1090,100,FALSE,1093,1.5,548,38.5714285714286
15,21,9,100,FALSE,9,8.078125,4.5,207.723214285714
21,22,10,100,FALSE,19,9.15625,14,235.446428571429
22,23,25,100,FALSE,44,10.3125,31.5,265.178571428571
23,24,515,100,FALSE,559,11.625,301.5,298.928571428571
24,25,789,100,FALSE,1348,10.5,953.5,270
24,26,476,100,FALSE,1035,12.75,797,327.857142857143
26,27,866,100,FALSE,1901,13.5,1468,347.142857142857
