parent,node,branch.length,label,isTip,x,y,branch,angle
23,1,95,PD43850h_P50_DNM_A2,TRUE,98,1,50.5,18
23,2,62,PD43850h_P50_DNM_C2,TRUE,65,2,34,36
25,3,141,PD43850l_P50_ILM_E4,TRUE,143,4,72.5,72
26,4,106,PD43850l_P50_ILM_F4,TRUE,118,5,65,90
26,5,152,PD43850l_P50_ILM_G4,TRUE,164,6,88,108
24,6,115,PD43850l_P50_ILM_H4,TRUE,117,3,59.5,54
31,7,54,PD43850h_P50_DNM_B4,TRUE,60,17,33,306
31,8,83,PD43850h_P53_DDM_D10,TRUE,89,18,47.5,324
32,9,105,PD43850l_P50_ILM_A5,TRUE,110,19,57.5,342
32,10,123,PD43850l_P50_ILM_C5,TRUE,128,20,66.5,360
33,11,194,PD43850h_P53_DDM_A10,TRUE,219,15,122,270
33,12,181,PD43850h_P53_DDM_B10,TRUE,206,16,115.5,288
36,13,162,PD43850m_P50_JNM_B7,TRUE,169,11,88,198
36,14,107,PD43850m_P50_JNM_C7,TRUE,114,12,60.5,216
37,15,86,PD43850m_P50_JNM_D6,TRUE,92,13,49,234
37,16,132,PD43850m_P50_JNM_E6,TRUE,138,14,72,252
34,17,95,PD43850m_P50_JNM_E7,TRUE,100,10,52.5,180
39,18,131,PD43850h_P50_DNM_D1,TRUE,138,8,72.5,144
39,19,87,PD43850l_P50_ILM_B5,TRUE,94,9,50.5,162
38,20,147,PD43850m_P50_JNM_F6,TRUE,154,7,80.5,126
21,21,0,,FALSE,0,6.8125,0,122.625
21,22,0,100,FALSE,0,2.6875,0,48.375
22,23,3,100,FALSE,3,1.5,1.5,27
22,24,2,100,FALSE,2,3.875,1,69.75
24,25,0,100,FALSE,2,4.75,2,85.5
25,26,10,100,FALSE,12,5.5,7,99
21,27,5,8,FALSE,5,10.9375,2.5,196.875
27,28,0,1,FALSE,5,14.125,5,254.25
28,29,0,3,FALSE,5,17,5,306
29,30,0,9,FALSE,5,18.5,5,333
30,31,1,100,FALSE,6,17.5,5.5,315
30,32,0,100,FALSE,5,19.5,5,351
29,33,20,100,FALSE,25,15.5,15,279
28,34,0,79,FALSE,5,11.25,5,202.5
34,35,0,52,FALSE,5,12.5,5,225
35,36,2,100,FALSE,7,11.5,6,207
35,37,1,100,FALSE,6,13.5,5.5,243
27,38,2,3,FALSE,7,7.75,6,139.5
38,39,0,8,FALSE,7,8.5,7,153
