parent,node,branch.length,label,isTip,x,y,branch,angle
12,1,509,PD46562b_lo0004,TRUE,2231,3,1976.5,135
12,2,726,PD46562b_lo0011,TRUE,2448,4,2085,180
11,3,502,PD46562b_lo0005,TRUE,2129,2,1878,90
10,4,1781,PD46562b_lo0006,TRUE,1809,1,918.5,45
14,5,903,PD46562b_lo0007,TRUE,1539,6,1087.5,270
15,6,473,PD46562b_lo0008,TRUE,1210,7,973.5,315
15,7,1041,PD46562b_lo0010,TRUE,1778,8,1257.5,360
13,8,2539,PD46562b_lo0009,TRUE,2540,5,1270.5,225
9,9,0,,FALSE,0,3.875,0,174.375
9,10,28,100,FALSE,28,1.875,14,84.375
10,11,1599,100,FALSE,1627,2.75,827.5,123.75
11,12,95,100,FALSE,1722,3.5,1674.5,157.5
9,13,1,97,FALSE,1,5.875,0.5,264.375
13,14,635,100,FALSE,636,6.75,318.5,303.75
14,15,101,100,FALSE,737,7.5,686.5,337.5
