parent,node,branch.length,label,isTip,x,y,branch,angle
11,1,2775,PD42834b_lo0018,TRUE,2830,5,1442.5,257.142857142857
12,2,2345,PD42834b_lo0020,TRUE,2726,6,1553.5,308.571428571429
12,3,2292,PD42834b_lo0021,TRUE,2673,7,1527,360
13,4,2890,PD42834b_lo0022,TRUE,2940,3,1495,154.285714285714
13,5,2856,PD42834b_lo0023,TRUE,2906,4,1478,205.714285714286
9,6,2657,PD42834b_lo0024,TRUE,2666,2,1337.5,102.857142857143
8,7,2664,PD42834b_lo0019,TRUE,2664,1,1332,51.4285714285714
8,8,0,,FALSE,0,2.15625,0,110.892857142857
8,9,9,69,FALSE,9,3.3125,4.5,170.357142857143
9,10,11,94,FALSE,20,4.625,14.5,237.857142857143
10,11,35,100,FALSE,55,5.75,37.5,295.714285714286
11,12,326,100,FALSE,381,6.5,218,334.285714285714
10,13,30,100,FALSE,50,3.5,35,180
