parent,node,branch.length,label,isTip,x,y,branch,angle
12,1,19,PD43953b_lo0009,TRUE,29,6,19.5,308.571428571429
12,2,16,PD43953b_lo0012,TRUE,26,7,18,360
11,3,8,PD43953b_lo0013,TRUE,18,5,14,257.142857142857
13,4,25,PD43953b_lo0014,TRUE,36,3,23.5,154.285714285714
13,5,22,PD43953b_lo0015,TRUE,33,4,22,205.714285714286
9,6,17,PD43953b_lo0016,TRUE,25,2,16.5,102.857142857143
8,7,33,PD43953b_lo0010,TRUE,33,1,16.5,51.4285714285714
8,8,0,,FALSE,0,2.15625,0,110.892857142857
8,9,8,97,FALSE,8,3.3125,4,170.357142857143
9,10,2,98,FALSE,10,4.625,9,237.857142857143
10,11,0,95,FALSE,10,5.75,10,295.714285714286
11,12,0,48,FALSE,10,6.5,10,334.285714285714
10,13,1,100,FALSE,11,3.5,10.5,180
