parent,node,branch.length,label,isTip,x,y,branch,angle
8,1,2633,PD42833b_lo0016,TRUE,2637,1,1320.5,60
8,2,2384,PD42833b_lo0022,TRUE,2388,2,1196,120
9,3,2098,PD42833b_lo0020,TRUE,2953,3,1904,180
11,4,267,PD42833b_lo0021,TRUE,1526,5,1392.5,300
11,5,323,PD42833b_lo0024,TRUE,1582,6,1420.5,360
10,6,0,PD42833b_lo0023,TRUE,1001,4,1001,240
7,7,0,,FALSE,0,2.6875,0,161.25
7,8,4,97,FALSE,4,1.5,2,90
7,9,855,100,FALSE,855,3.875,427.5,232.5
9,10,146,100,FALSE,1001,4.75,928,285
10,11,258,100,FALSE,1259,5.5,1130,330
