parent,node,branch.length,label,isTip,x,y,branch,angle
17,1,4417,PD46565b_lo0001,TRUE,4520,3,2311.5,83.0769230769231
17,2,4394,PD46565b_lo0002,TRUE,4497,4,2300,110.769230769231
18,3,4920,PD46565b_lo0003,TRUE,4958,5,2498,138.461538461538
18,4,4093,PD46565b_lo0004,TRUE,4131,6,2084.5,166.153846153846
19,5,3549,PD46565b_lo0005,TRUE,3605,1,1830.5,27.6923076923077
19,6,4368,PD46565b_lo0006,TRUE,4424,2,2240,55.3846153846154
21,7,2080,PD46565c_lo0001,TRUE,2084,7,1044,193.846153846154
22,8,976,PD46565c_lo0009,TRUE,1187,8,699,221.538461538462
22,9,3384,PD46565c_lo0010,TRUE,3595,9,1903,249.230769230769
23,10,5272,PD46565c_lo0002,TRUE,5275,10,2639,276.923076923077
25,11,1900,PD46565c_lo0004,TRUE,2189,12,1239,332.307692307692
25,12,1434,PD46565c_lo0008,TRUE,1723,13,1006,360
24,13,6230,PD46565c_lo0006,TRUE,6249,11,3134,304.615384615385
14,14,0,,FALSE,0,6.15625,0,170.480769230769
14,15,15,100,FALSE,15,3,7.5,83.0769230769231
15,16,22,100,FALSE,37,4.5,26,124.615384615385
16,17,66,100,FALSE,103,3.5,70,96.9230769230769
16,18,1,50,FALSE,38,5.5,37.5,152.307692307692
15,19,41,100,FALSE,56,1.5,35.5,41.5384615384615
14,20,3,98,FALSE,3,9.3125,1.5,257.884615384615
20,21,1,92,FALSE,4,7.75,3.5,214.615384615385
21,22,207,100,FALSE,211,8.5,107.5,235.384615384615
20,23,0,27,FALSE,3,10.875,3,301.153846153846
23,24,16,100,FALSE,19,11.75,11,325.384615384615
24,25,270,100,FALSE,289,12.5,154,346.153846153846
