parent,node,branch.length,label,isTip,x,y,branch,angle
16,1,204,PD41852c_lo0001,TRUE,209,5,107,163.636363636364
17,2,160,PD41852c_lo0010,TRUE,243,6,163,196.363636363636
17,3,137,PD41852c_lo0011,TRUE,220,7,151.5,229.090909090909
15,4,232,PD41852c_lo0009,TRUE,236,4,120,130.909090909091
18,5,213,PD41852c_lo0002,TRUE,217,8,110.5,261.818181818182
19,6,198,PD41852c_lo0003,TRUE,236,9,137,294.545454545455
20,7,221,PD41852c_lo0004,TRUE,262,10,151.5,327.272727272727
20,8,201,PD41852c_lo0005,TRUE,242,11,141.5,360
13,9,233,PD41852c_lo0015,TRUE,236,3,119.5,98.1818181818182
21,10,251,PD41852c_lo0016,TRUE,254,1,128.5,32.7272727272727
21,11,268,PD41852c_lo0017,TRUE,271,2,137,65.4545454545455
12,12,0,,FALSE,0,3.21875,0,105.340909090909
12,13,3,87,FALSE,3,4.9375,1.5,161.590909090909
13,14,1,89,FALSE,4,6.875,3.5,225
14,15,0,100,FALSE,4,4.875,4,159.545454545455
15,16,1,99,FALSE,5,5.75,4.5,188.181818181818
16,17,78,100,FALSE,83,6.5,44,212.727272727273
14,18,0,100,FALSE,4,8.875,4,290.454545454545
18,19,34,100,FALSE,38,9.75,21,319.090909090909
19,20,3,100,FALSE,41,10.5,39.5,343.636363636364
12,21,3,100,FALSE,3,1.5,1.5,49.0909090909091
