parent,node,branch.length,label,isTip,x,y,branch,angle
11,1,1021,PD52486b_lo0001,TRUE,1021,1,510.5,40
13,2,436,PD52486b_lo0002,TRUE,1012,3,794,120
13,3,545,PD52486b_lo0008,TRUE,1121,4,848.5,160
12,4,968,PD52486b_lo0004,TRUE,985,2,501,80
15,5,659,PD52486b_lo0003,TRUE,661,7,331.5,280
16,6,422,PD52486b_lo0009,TRUE,1214,8,1003,320
16,7,426,PD52486b_lo0010,TRUE,1218,9,1005,360
17,8,970,PD52486b_lo0005,TRUE,985,5,500,200
17,9,861,PD52486b_lo0006,TRUE,876,6,445.5,240
10,10,0,,FALSE,0,4.25,0,170
10,11,0,18,FALSE,0,1.875,0,75
11,12,17,100,FALSE,17,2.75,8.5,110
12,13,559,100,FALSE,576,3.5,296.5,140
10,14,2,48,FALSE,2,6.625,1,265
14,15,0,30,FALSE,2,7.75,2,310
15,16,790,100,FALSE,792,8.5,397,340
14,17,13,100,FALSE,15,5.5,8.5,220
