parent,node,branch.length,label,isTip,x,y,branch,angle
15,1,3601,PD46563b_lo0001,TRUE,3631,1,1830.5,27.6923076923077
15,2,4736,PD46563b_lo0002,TRUE,4766,2,2398,55.3846153846154
18,3,235,PD46563b_lo0003,TRUE,4999,7,4881.5,193.846153846154
18,4,183,PD46563b_lo0004,TRUE,4947,8,4855.5,221.538461538462
20,5,4635,PD46563b_lo0005,TRUE,4667,9,2349.5,249.230769230769
20,6,4232,PD46563b_lo0010,TRUE,4264,10,2148,276.923076923077
21,7,4587,PD46563b_lo0011,TRUE,4637,11,2343.5,304.615384615385
22,8,106,PD46563b_lo0012,TRUE,4003,12,3950,332.307692307692
22,9,202,PD46563b_lo0013,TRUE,4099,13,3998,360
24,10,3478,PD46563b_lo0006,TRUE,5122,4,3383,110.769230769231
25,11,183,PD46563b_lo0007,TRUE,4726,5,4634.5,138.461538461538
25,12,178,PD46563b_lo0008,TRUE,4721,6,4632,166.153846153846
23,13,4835,PD46563b_lo0009,TRUE,4844,3,2426.5,83.0769230769231
14,14,0,,FALSE,0,3.984375,0,110.336538461538
14,15,30,100,FALSE,30,1.5,15,41.5384615384615
14,16,5,97,FALSE,5,6.46875,2.5,179.134615384615
16,17,2,99,FALSE,7,9.0625,6,250.961538461538
17,18,4757,100,FALSE,4764,7.5,2385.5,207.692307692308
17,19,4,100,FALSE,11,10.625,9,294.230769230769
19,20,21,100,FALSE,32,9.5,21.5,263.076923076923
19,21,39,100,FALSE,50,11.75,30.5,325.384615384615
21,22,3847,100,FALSE,3897,12.5,1973.5,346.153846153846
16,23,4,98,FALSE,9,3.875,7,107.307692307692
23,24,1635,100,FALSE,1644,4.75,826.5,131.538461538462
24,25,2899,100,FALSE,4543,5.5,3093.5,152.307692307692
