parent,node,branch.length,label,isTip,x,y,branch,angle
9,1,2040,PD37266c_lo0010,TRUE,2059,3,1039,180
10,2,2505,PD37266c_lo0012,TRUE,2524,4,1271.5,240
11,3,2051,PD37266c_lo0014,TRUE,2073,5,1047.5,300
11,4,2694,PD37266c_lo0016,TRUE,2716,6,1369,360
8,5,778,PD37266c_lo0023,TRUE,787,2,398,120
7,6,2216,PD37266c_lo0018,TRUE,2216,1,1108,60
7,7,0,,FALSE,0,1.96875,0,118.125
7,8,9,100,FALSE,9,2.9375,4.5,176.25
8,9,10,100,FALSE,19,3.875,14,232.5
9,10,0,92,FALSE,19,4.75,19,285
10,11,3,94,FALSE,22,5.5,20.5,330
