parent,node,branch.length,label,isTip,x,y,branch,angle
14,1,169,PD43853b_lo0020,TRUE,184,6,99.5,196.363636363636
14,2,95,PD43853b_lo0021,TRUE,110,7,62.5,229.090909090909
17,3,92,PD43853b_lo0022,TRUE,219,10,173,327.272727272727
17,4,112,PD43853b_lo0023,TRUE,239,11,183,360
16,5,131,PD43853b_lo0025,TRUE,187,9,121.5,294.545454545455
15,6,147,PD43853b_lo0024,TRUE,202,8,128.5,261.818181818182
20,7,171,PD43853c_lo0016,TRUE,175,2,89.5,65.4545454545455
20,8,164,PD43853c_lo0019,TRUE,168,3,86,98.1818181818182
21,9,60,PD43853c_lo0017,TRUE,217,4,187,130.909090909091
21,10,51,PD43853c_lo0018,TRUE,208,5,182.5,163.636363636364
18,11,161,PD43853c_lo0020,TRUE,162,1,81.5,32.7272727272727
12,12,0,,FALSE,0,4.96875,0,162.613636363636
12,13,5,100,FALSE,5,7.6875,2.5,251.590909090909
13,14,10,100,FALSE,15,6.5,10,212.727272727273
13,15,50,100,FALSE,55,8.875,30,290.454545454545
15,16,1,95,FALSE,56,9.75,55.5,319.090909090909
16,17,71,100,FALSE,127,10.5,91.5,343.636363636364
12,18,1,35,FALSE,1,2.25,0.5,73.6363636363636
18,19,2,100,FALSE,3,3.5,2,114.545454545455
19,20,1,100,FALSE,4,2.5,3.5,81.8181818181818
19,21,154,100,FALSE,157,4.5,80,147.272727272727
