parent,node,branch.length,label,isTip,x,y,branch,angle
15,1,154,PD43402c_lo0025,TRUE,165,8,88,240
17,2,122,PD43402c_lo0026,TRUE,200,10,139,300
18,3,45,PD43402c_lo0027,TRUE,187,11,164.5,330
18,4,54,PD43402c_lo0028,TRUE,196,12,169,360
16,5,140,PD43402c_lo0029,TRUE,167,9,97,270
19,6,98,PD43402d_lo0001,TRUE,200,6,151,180
19,7,141,PD43402d_lo0002,TRUE,243,7,172.5,210
20,8,188,PD43402d_lo0003,TRUE,188,1,94,30
22,9,88,PD43402d_lo0004,TRUE,146,2,102,60
22,10,87,PD43402d_lo0005,TRUE,145,3,101.5,90
23,11,78,PD43402d_lo0006,TRUE,171,4,132,120
23,12,84,PD43402d_lo0007,TRUE,177,5,135,150
13,13,0,,FALSE,0,4.984375,0,149.53125
13,14,10,100,FALSE,10,7.71875,5,231.5625
14,15,1,100,FALSE,11,8.9375,10.5,268.125
15,16,16,100,FALSE,27,9.875,19,296.25
16,17,51,100,FALSE,78,10.75,52.5,322.5
17,18,64,100,FALSE,142,11.5,110,345
14,19,92,100,FALSE,102,6.5,56,195
13,20,0,100,FALSE,0,2.25,0,67.5
20,21,55,100,FALSE,55,3.5,27.5,105
21,22,3,100,FALSE,58,2.5,56.5,75
21,23,38,100,FALSE,93,4.5,74,135
