parent,node,branch.length,label,isTip,x,y,branch,angle
11,1,186,PD42834b_lo0018,TRUE,252,5,159,257.142857142857
12,2,112,PD42834b_lo0020,TRUE,200,6,144,308.571428571429
12,3,133,PD42834b_lo0021,TRUE,221,7,154.5,360
13,4,137,PD42834b_lo0022,TRUE,205,3,136.5,154.285714285714
13,5,152,PD42834b_lo0023,TRUE,220,4,144,205.714285714286
9,6,167,PD42834b_lo0024,TRUE,229,2,145.5,102.857142857143
8,7,155,PD42834b_lo0019,TRUE,155,1,77.5,51.4285714285714
8,8,0,,FALSE,0,2.15625,0,110.892857142857
8,9,62,69,FALSE,62,3.3125,31,170.357142857143
9,10,2,94,FALSE,64,4.625,63,237.857142857143
10,11,2,100,FALSE,66,5.75,65,295.714285714286
11,12,22,100,FALSE,88,6.5,77,334.285714285714
10,13,4,100,FALSE,68,3.5,66,180
