parent,node,branch.length,label,isTip,x,y,branch,angle
18,1,179,PD46568b_lo0002,TRUE,197,3,107.5,77.1428571428571
18,2,197,PD46568b_lo0019,TRUE,215,4,116.5,102.857142857143
19,3,92,PD46568b_lo0004,TRUE,112,5,66,128.571428571429
19,4,133,PD46568b_lo0005,TRUE,153,6,86.5,154.285714285714
20,5,49,PD46568b_lo0007,TRUE,148,1,123.5,25.7142857142857
20,6,43,PD46568b_lo0009,TRUE,142,2,120.5,51.4285714285714
21,7,164,PD46568b_lo0010,TRUE,186,7,104,180
25,8,49,PD46568b_lo0011,TRUE,194,10,169.5,257.142857142857
25,9,62,PD46568b_lo0012,TRUE,207,11,176,282.857142857143
27,10,8,PD46568b_lo0013,TRUE,220,13,216,334.285714285714
27,11,14,PD46568b_lo0014,TRUE,226,14,219,360
26,12,68,PD46568b_lo0015,TRUE,198,12,164,308.571428571429
23,13,171,PD46568b_lo0016,TRUE,199,9,113.5,231.428571428571
22,14,135,PD46568b_lo0017,TRUE,161,8,93.5,205.714285714286
15,15,0,,FALSE,0,5.5390625,0,142.433035714286
15,16,14,99,FALSE,14,3,7,77.1428571428571
16,17,1,100,FALSE,15,4.5,14.5,115.714285714286
17,18,3,100,FALSE,18,3.5,16.5,90
17,19,5,100,FALSE,20,5.5,17.5,141.428571428571
16,20,85,100,FALSE,99,1.5,56.5,38.5714285714286
15,21,22,100,FALSE,22,8.078125,11,207.723214285714
21,22,4,100,FALSE,26,9.15625,24,235.446428571429
22,23,2,100,FALSE,28,10.3125,27,265.178571428571
23,24,58,100,FALSE,86,11.625,57,298.928571428571
24,25,59,100,FALSE,145,10.5,115.5,270
24,26,44,100,FALSE,130,12.75,108,327.857142857143
26,27,82,100,FALSE,212,13.5,171,347.142857142857
