parent,node,branch.length,label,isTip,x,y,branch,angle
9,1,32,PD43952b_lo0011,TRUE,46,3,30,154.285714285714
11,2,15,PD43952b_lo0013,TRUE,34,5,26.5,257.142857142857
12,3,19,PD43952b_lo0016,TRUE,42,6,32.5,308.571428571429
12,4,31,PD43952b_lo0018,TRUE,54,7,38.5,360
10,5,24,PD43952b_lo0021,TRUE,43,4,31,205.714285714286
13,6,37,PD43952b_lo0017,TRUE,42,1,23.5,51.4285714285714
13,7,12,PD43952b_lo0024,TRUE,17,2,11,102.857142857143
8,8,0,,FALSE,0,2.71875,0,139.821428571429
8,9,14,100,FALSE,14,3.9375,7,202.5
9,10,5,100,FALSE,19,4.875,16.5,250.714285714286
10,11,0,97,FALSE,19,5.75,19,295.714285714286
11,12,4,100,FALSE,23,6.5,21,334.285714285714
8,13,5,98,FALSE,5,1.5,2.5,77.1428571428571
