parent,node,branch.length,label,isTip,x,y,branch,angle
26,1,3037,PD28690bp_SB1_A9,TRUE,3053,6,1534.5,102.857142857143
26,2,2611,PD28690bp_SB1_H8,TRUE,2627,7,1321.5,120
25,3,1732,PD28690bp_SB1_G8,TRUE,1748,5,882,85.7142857142857
27,4,3600,PD28690bt_SB2_F10,TRUE,3635,3,1835,51.4285714285714
27,5,3463,PD28690bt_SB2_H10,TRUE,3498,4,1766.5,68.5714285714286
32,6,3508,PD28690bp_SB1_D8,TRUE,3508,14,1754,240
32,7,2596,PD28690bp_SB1_G9,TRUE,2596,15,1298,257.142857142857
34,8,2889,PD28690bt_SB2_C11,TRUE,2921,16,1476.5,274.285714285714
34,9,2659,PD28690bt_SB2_E11,TRUE,2691,17,1361.5,291.428571428571
36,10,806,PD28690bt_SB2_F11,TRUE,3232,18,2829,308.571428571429
36,11,397,PD28690bt_SB2_G11,TRUE,2823,19,2624.5,325.714285714286
37,12,14,PD28690bt_SB3_E5,TRUE,3383,20,3376,342.857142857143
37,13,13,PD28690bt_SB3_F5,TRUE,3382,21,3375.5,360
38,14,3454,PD28690bt_SB2_A11,TRUE,3472,11,1745,188.571428571429
39,15,446,PD28690bt_SB3_B5,TRUE,1985,12,1762,205.714285714286
39,16,191,PD28690bt_SB3_C5,TRUE,1730,13,1634.5,222.857142857143
40,17,4486,PD28690bp_SB1_H9,TRUE,4487,9,2244,154.285714285714
40,18,3052,PD28690bt_SB2_G10,TRUE,3053,10,1527,171.428571428571
28,19,3457,PD28690bp_SB1_E9,TRUE,3457,8,1728.5,137.142857142857
41,20,4184,PD28690bp_SB1_B8,TRUE,4193,1,2101,17.1428571428571
41,21,3575,PD28690bp_SB1_B9,TRUE,3584,2,1796.5,34.2857142857143
22,22,0,,FALSE,0,4.375,0,75
22,23,0,4,FALSE,0,7.25,0,124.285714285714
23,24,1,52,FALSE,1,4.625,0.5,79.2857142857143
24,25,15,100,FALSE,16,5.75,8.5,98.5714285714286
25,26,0,80,FALSE,16,6.5,16,111.428571428571
24,27,34,100,FALSE,35,3.5,18,60
23,28,0,0,FALSE,0,9.875,0,169.285714285714
28,29,0,0,FALSE,0,11.75,0,201.428571428571
29,30,0,1,FALSE,0,14,0,240
30,31,0,1,FALSE,0,16.25,0,278.571428571429
31,32,0,5,FALSE,0,14.5,0,248.571428571429
31,33,22,100,FALSE,22,18,11,308.571428571429
33,34,10,100,FALSE,32,16.5,27,282.857142857143
33,35,2,100,FALSE,24,19.5,23,334.285714285714
35,36,2402,100,FALSE,2426,18.5,1225,317.142857142857
35,37,3345,100,FALSE,3369,20.5,1696.5,351.428571428571
30,38,18,100,FALSE,18,11.75,9,201.428571428571
38,39,1521,100,FALSE,1539,12.5,778.5,214.285714285714
29,40,1,45,FALSE,1,9.5,0.5,162.857142857143
22,41,9,100,FALSE,9,1.5,4.5,25.7142857142857
