parent,node,branch.length,label,isTip,x,y,branch,angle
12,1,14,PD43951b_lo0010,TRUE,18,1,11,36
13,2,22,PD43951b_lo0014,TRUE,29,2,18,72
13,3,18,PD43951b_lo0015,TRUE,25,3,16,108
16,4,11,PD43951b_lo0011,TRUE,32,5,26.5,180
16,5,24,PD43951b_lo0012,TRUE,45,6,33,216
15,6,24,PD43951b_lo0018,TRUE,44,4,32,144
18,7,11,PD43951b_lo0016,TRUE,32,7,26.5,252
18,8,22,PD43951b_lo0017,TRUE,43,8,32,288
19,9,18,PD43951b_lo0019,TRUE,39,9,30,324
19,10,3,PD43951b_lo0020,TRUE,24,10,22.5,360
11,11,0,,FALSE,0,4.1875,0,150.75
11,12,4,38,FALSE,4,1.75,2,63
12,13,3,100,FALSE,7,2.5,5.5,90
11,14,18,46,FALSE,18,6.625,9,238.5
14,15,2,100,FALSE,20,4.75,19,171
15,16,1,100,FALSE,21,5.5,20.5,198
14,17,1,68,FALSE,19,8.5,18.5,306
17,18,2,100,FALSE,21,7.5,20,270
17,19,2,100,FALSE,21,9.5,20,342
