parent,node,branch.length,label,isTip,x,y,branch,angle
16,1,3560,PD41852c_lo0001,TRUE,3579,5,1799,163.636363636364
17,2,2787,PD41852c_lo0010,TRUE,4088,6,2694.5,196.363636363636
17,3,2469,PD41852c_lo0011,TRUE,3770,7,2535.5,229.090909090909
15,4,3935,PD41852c_lo0009,TRUE,3946,4,1978.5,130.909090909091
18,5,3386,PD41852c_lo0002,TRUE,3414,8,1721,261.818181818182
19,6,3228,PD41852c_lo0003,TRUE,3636,9,2022,294.545454545455
20,7,3140,PD41852c_lo0004,TRUE,3583,10,2013,327.272727272727
20,8,3150,PD41852c_lo0005,TRUE,3593,11,2018,360
13,9,3824,PD41852c_lo0015,TRUE,3825,3,1913,98.1818181818182
21,10,4255,PD41852c_lo0016,TRUE,4279,1,2151.5,32.7272727272727
21,11,3893,PD41852c_lo0017,TRUE,3917,2,1970.5,65.4545454545455
12,12,0,,FALSE,0,3.21875,0,105.340909090909
12,13,1,87,FALSE,1,4.9375,0.5,161.590909090909
13,14,2,89,FALSE,3,6.875,2,225
14,15,8,100,FALSE,11,4.875,7,159.545454545455
15,16,8,99,FALSE,19,5.75,15,188.181818181818
16,17,1282,100,FALSE,1301,6.5,660,212.727272727273
14,18,25,100,FALSE,28,8.875,15.5,290.454545454545
18,19,380,100,FALSE,408,9.75,218,319.090909090909
19,20,35,100,FALSE,443,10.5,425.5,343.636363636364
12,21,24,100,FALSE,24,1.5,12,49.0909090909091
