parent,node,branch.length,label,isTip,x,y,branch,angle
12,1,1668,PD37449f_lo0002,TRUE,1673,5,839,180
16,2,452,PD37449f_lo0010,TRUE,1597,9,1371,324
16,3,694,PD37449f_lo0023,TRUE,1839,10,1492,360
15,4,1950,PD37449f_lo0016,TRUE,1975,8,1000,288
14,5,1640,PD37449f_lo0022,TRUE,1660,7,840,252
13,6,1004,PD37449f_lo0011,TRUE,1024,6,522,216
19,7,1792,PD37449f_lo0006,TRUE,1915,3,1019,108
19,8,1413,PD37449f_lo0019,TRUE,1536,4,829.5,144
18,9,669,PD37449f_lo0008,TRUE,773,2,438.5,72
17,10,1612,PD37449f_lo0017,TRUE,1612,1,806,36
11,11,0,,FALSE,0,3.921875,0,141.1875
11,12,5,100,FALSE,5,5.96875,2.5,214.875
12,13,15,100,FALSE,20,6.9375,12.5,249.75
13,14,0,26,FALSE,20,7.875,20,283.5
14,15,5,99,FALSE,25,8.75,22.5,315
15,16,1120,100,FALSE,1145,9.5,585,342
11,17,0,30,FALSE,0,1.875,0,67.5
17,18,104,100,FALSE,104,2.75,52,99
18,19,19,100,FALSE,123,3.5,113.5,126
