0 1 2 3 4 5 6 7 8 9
PD28690_36 0.00248501248959201 0.757299333888426 0.169510407993339 0.0614338051623647 0.002507493755204 0.00186719400499584 0.00122231473771857 0.00154079933388843 0.00206328059950042 7.03580349708576e-05
PD28690_9 0.00130763444904099 0.743279428356525 0.185334336216623 0.0536615268898082 0.00134110567882663 0.00980142910868748 0.00370552839413313 0.00102294095524633 0.00035238811583302 0.00019368183527642
PD28690_17 0.0227955862683905 0.674918858671422 0.112159830584039 0.102968345965225 0.0479070441373161 0.00245296477931342 0.0349721355327686 0.00159629959875167 0.000193490860454748 3.54436023183237e-05
PD28690_37 0.00382481315396114 0.74794798206278 0.158707922272048 0.0122872944693572 0.010732735426009 0.00207085201793722 0.062270553064275 0.00106547085201794 0.00103318385650224 5.91928251121076e-05
PD28690_8 0.00989027345102111 0.706485635167878 0.137530979577709 0.027140879196954 0.104450328833506 0.00193838698511596 0.0106244375216338 0.00138629283489097 0.000434060228452752 0.000118726202838352
PD28690_5 0.0189448455096737 0.691498411781692 0.172853595148715 0.0386043892578689 0.0578717874675137 0.0102211954952353 0.00582818365578978 0.00245163153335258 0.00165550101068438 7.04591394744441e-05
PD28690_19 0.00228811107897021 0.692820075209719 0.243529939253688 0.027480185131617 0.00164448944171247 0.002837431298814 0.0279780156204802 0.00098756146948221 0.000335261787677177 9.89297078391669e-05
PD28690_15 0.0129955156950673 0.653903587443946 0.148661434977578 0.0228565022421525 0.0208161434977578 0.010627802690583 0.125331838565022 0.00342825112107623 0.00125560538116592 0.000123318385650224
PD28690_14 0.0101832657788072 0.724370874348581 0.181972206137811 0.0472640416907933 0.00412970469021424 0.00545946728430805 0.0243300521134916 0.00197452229299363 0.000214533873769543 0.000101331789229878
PD28690_21 0.0173255944055944 0.71266013986014 0.16642993006993 0.0484097902097902 0.0288439160839161 0.00277958041958042 0.0210629370629371 0.00220167832167832 0.000213986013986014 7.24475524475524e-05
PD28690_2 0.0284806587514362 0.758788203753351 0.11367253925699 0.0344228265032555 0.0195572577556492 0.00327384144006128 0.0384569130601302 0.00260551512830333 0.000548831865185753 0.000193412485637687
PD28690_18 0.00320904325032765 0.741810943643512 0.193874508519004 0.0338499344692005 0.00304882044560944 0.0100632372214941 0.0118479685452163 0.00149639580602883 0.000413499344692005 0.00038564875491481
PD28690_20 0.00405497131931166 0.649984225621415 0.0515724187380497 0.0456684990439771 0.212587476099426 0.00301768642447419 0.0276914435946463 0.00450454110898662 0.000875956022944551 4.27820267686424e-05
PD28690_39 0.00511111111111111 0.766658777120316 0.207804076265615 0.0116738987508218 0.00284615384615385 0.00267652859960552 0.000938856015779093 0.00178040762656147 0.000344510190664037 0.000165680473372781
PD28690_10 0.00742307692307692 0.69895905707196 0.085848635235732 0.0425732009925558 0.0026985111662531 0.0033287841191067 0.155129032258065 0.00267369727047146 0.00116997518610422 0.000196029776674938
PD28690_1 0.00742278564372736 0.673381626605203 0.234492920645374 0.0723407968389858 0.00289002304906157 0.0031162331247942 0.00383174185051037 0.00227296674349687 0.000196904840302931 5.40006585446164e-05
PD28690_3 0.00325923787528868 0.735607967667437 0.161766166281755 0.014094688221709 0.0677938799076212 0.00157390300230947 0.0137707852193995 0.00147863741339492 0.000478637413394919 0.000176096997690531
PD28690_4 0.00288833333333333 0.670416388888889 0.200228611111111 0.0782611111111111 0.00622083333333333 0.00766888888888889 0.0320897222222222 0.00162972222222222 0.000409166666666667 0.000187222222222222
PD28690_6 0.0229518244013683 0.690098061573546 0.158993443557583 0.0681875712656785 0.0228688711516534 0.0268281071835804 0.00513911060433295 0.00358437856328392 0.00113568985176739 0.000212941847206385
PD28690_11 0.00325692695214106 0.70867758186398 0.0767027707808564 0.0132141057934509 0.00279093198992443 0.00294458438287154 0.189125944584383 0.00252392947103275 0.000599496221662468 0.000163727959697733
