SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90
Signature1	0.972861809575271	0.10380144627601	0.212969068673405	0.141448788361314	0.371656206779366	0.801893479640349	0.159047414106761	0.189182495403622	0.0750711342091732	0.0919639162124536	0.163769428696988	0.18029947841166	0.0959281727646389	0.311383030420851	0.163137533793358	0.120920314001845	0.0375480884742804	0.157383569403894	0.639682268238339	0.125250795852103	0.0389134541168378	0.0174042893945602	0.252750971483401	0.158902580540066	0.172665598502545	0.104422090325996	0.0424514552451378	0.18531934205748	0.203557033729761	0.345963619791277	0.149087480243922	0.0753793549485679	0.0400217265974274	0.267985984541676	0.238783173533381	0.178438139306557	0.311840437418782	0.0814582539356511	0.0776266847457778	0.123882576064959	0.163702351076582	0.168579037671321	0.0674425166717905	0.183664894907826	0.23115964311448	0.187309486065506	0.177392930361274	0.0355900606252591	0.318372202715912	0.0805030113541535	0.166928289038655	0.105890127012395	0.0196853842273937	0.0273109822341294	0.175135472121509	0.161309688956723	0.082016197349653	0.0903265437402564	0.119708880543404	0.0589882442896142	0.105687812235288	0.189278247262974	0.198373395095859	0.0538482669190178	0.0176610176751756	0.15700107159117	0.109904985188969	0.174156845325971	0.730323219715018	0.150998732569718	0.215694308176044	0.0409586232071891
Signature2	0.163528955358951	0.260026755234277	0.81939162980852	0.466727780900119	0.907424714409241	0.422030895508021	0.435924783525841	0.569829142368227	0.242820854572044	0.301206937345115	0.522187565883477	0.452779563158009	0.0495507023837223	0.147591148151661	0.620753749723952	0.476050214550611	0.141128583929227	0.228253422347361	0.338146482091856	0.488596741361578	0.148641028519551	0.0535578609465645	0.365206731785269	0.616101374939239	0.382390979822218	0.271263881609628	0.233045043641787	0.649428055226928	0.407985521636108	0.637586619722305	0.442561842068441	0.19892502873629	0.0826281450832623	0.359203122575855	0.694421029337117	0.654241359566072	0.641795367485837	0.20007528015414	0.102517943008683	0.522719377139012	0.228751778638068	0.499190861020551	0.263957128217858	0.532783964224575	0.83524699018007	0.377562146277833	0.645865501964888	0.14881593878096	0.586585248086799	0.236627383635554	0.493452010331742	0.297538195296485	0.0287182181505383	0.116797899325101	0.478840963678087	0.415920439538079	0.106327713939756	0.295345594219568	0.287741033361923	0.149136488638066	0.0942538595276796	0.433317121333063	0.56223605641172	0.111444842974608	0.0554988098260987	0.604328327572949	0.393832961825485	0.314162231542217	0.26995465794757	0.389009185344191	0.725335026313899	0.110861695396289
Signature3	0.272843445121392	0.0891221137733956	0.408187598899962	0.614503721498137	0.394333681328928	0.302290040817193	0.0872424191927882	0.0967347437718342	0.114959969146902	0.0879714603192916	0.580652195172192	0.331408370285223	0.686696710052998	0.235655318892426	0.0682780683553876	0.118345075928054	0.159986919270474	0.539981246759365	0.315638126574024	0.15074214743385	0.0535723140550176	0.0336279939107707	0.945658170956122	0.0973030428945394	0.235692128444974	0.0765007497926394	0.0827361806903925	0.090773622377854	0.575445538631392	0.430203144416914	0.109181580404753	0.108036627335312	0.0660736141054458	0.752233496668001	0.12374148994449	0.177438022845069	0.190908579441632	0.106284875057133	0.133193858345316	0.325961200665921	0.90355028513566	0.139420102951625	0.276397565438511	0.268287939442984	0.561389253539289	0.222030094633993	0.290858638841854	0.0790172256945646	0.282325987220659	0.401451699047504	0.197272250966455	0.217953825909667	0.102131904432817	0.138030629123158	0.277630632412897	0.308343334621498	0.464249898828524	0.182820304549417	0.123226842871598	0.0592861356100522	0.753736281688344	0.174076535359392	0.221621702612658	0.356422388295533	0.018794357846468	0.125214771754389	0.150561039875518	0.172527635456394	0.315259791981629	0.152195855256225	0.417173089959474	0.0933448685452757
Signature4	0.0648238800789684	0.681072311389781	0.319535073179251	0.131941935051939	0.328091154991453	0.10170665999168	0.510362895870907	0.208112221736948	0.0933983137121622	0.0706650698429382	0.116780542422607	0.113586713202815	0.0726590151473149	0.199318914678732	0.192782008240967	0.0659171308838021	0.733573487870217	0.0573418699511409	0.116944952766169	0.132432138474311	0.0167939824576017	0.00780886453151852	0.154372214155992	0.179215571316458	0.0585730814477684	0.026908224395954	0.0319652724183137	0.101053830915871	0.107783173475876	0.255228475814548	0.0499629257396469	0.0662824882787477	0.0163997335125368	0.106476519568164	0.346251114069408	0.114052945118793	0.192221837134983	0.0892599862683734	0.0194998571426702	0.161179858018574	0.155990977290528	0.0790429989687163	0.062042041699234	0.42097645497566	0.472082021381465	0.274681252157951	0.106962798711073	0.015662127211744	0.0634072869180453	0.0740214476253117	0.130680856031081	0.141760484471936	0.0196837402225485	0.0227405429625344	0.226502775511908	0.112912633965237	0.100444664301354	0.0648143077712423	0.0270020924454742	0.0525404822490052	0.0884806227076065	0.140044193355198	0.307210346632666	0.0198829462715786	0.00743298167327184	0.0744545587100408	0.110455424318337	0.447774005161663	0.109710689469891	0.0456274159983901	0.334032712847664	0.0219531202916884
Signature5	0.241615291771056	0.136862770829786	0.780343636549089	0.490111629775818	0.754567088897815	0.428233328789755	0.366445262483604	0.437066767454329	0.282558287090244	0.299740355810458	0.510953228078687	0.548831768430378	0.111946566875435	0.191098002092297	0.500804690224453	0.390430072225605	0.186264125018327	0.253838697081637	0.370172007952953	0.326462267352856	0.142773184183364	0.1594347545811	0.42579093241564	0.317055146107703	0.328493840603725	0.330699840010938	0.209076589154008	0.451666587988645	0.553114857935836	0.572295334480101	0.379373531548457	0.160492939370802	0.267471880411125	0.450743592132899	0.551396823527729	0.407357831485196	0.48995839554521	0.218074254585372	0.151662627462577	0.459757712451178	0.349584692743561	0.448430229919016	0.161314923018308	0.532684040559524	0.794148709923523	0.489829885425807	0.65831864681711	0.133245088652909	0.534823019600663	0.24353457368764	0.431988348678831	0.268852442651251	0.0702059306338824	0.105502444377963	0.399345438799856	0.262213733562691	0.224924201918774	0.192143826536024	0.21880305924476	0.156874299870221	0.187604300390008	0.39330725800518	0.336726720486172	0.233373381470214	0.0529424650854768	0.476096720885156	0.346587845010846	0.328919193872489	0.303875505592209	0.370199311954558	0.611280916992915	0.165667972708592
Signature6	0.0546101636147992	0.0926671106209201	0.664445694544272	0.729195516216469	0.46401856051158	0.248040612389265	0.145036211549171	0.262392086430292	0.217163290103713	0.112578483110322	0.712726028137183	0.3013118402777	0.189285733888523	0.12181932253683	0.275550137107163	0.169202019866879	0.139072986570891	0.566249031554438	0.284399012979001	0.155651909743672	0.244113484190999	0.0461297118782621	0.532575825958469	0.335006995657311	0.634167490999427	0.121932921529569	0.342917848952124	0.375113818716978	0.581969434220697	0.596125688891358	0.173930960294321	0.227088300241206	0.0428416980781194	0.604225750732398	0.263906393589685	0.531250310397645	0.251804276883498	0.0799217425338447	0.112789099500566	0.865060677235636	0.451107662869141	0.183764419422753	0.486866798651327	0.364368624068246	0.605209433433601	0.233753790624263	0.546903512783862	0.104309432654983	0.515429361555558	0.563738826042603	0.313210044040909	0.203059497926901	0.0139603472847535	0.167755379780195	0.270646150145477	0.213810685073803	0.13961901819064	0.310157199181388	0.13517789690073	0.0851279858797262	0.253925682129343	0.202042851604416	0.239274267186532	0.247778105039335	0.0254733111106217	0.399779110286941	0.188764167971822	0.218781306000796	0.157870104747172	0.0990024012972721	0.563125623500714	0.209029634938932
Signature7	0.145556480263299	0.109199022046438	0.660766115335261	0.401925608532635	0.721329927676202	0.231467470397971	0.129933599858401	0.178606165200324	0.37896441254368	0.377611442854729	0.545365174979141	0.74882562786851	0.411510037703402	0.224330349161652	0.240523582037109	0.521028461131805	0.184369081694667	0.360326190848461	0.219845552436142	0.437892154984835	0.169423512400851	0.243817480060668	0.477811030083318	0.199950284893104	0.281389036727784	0.348857797014844	0.276433394661644	0.183964434907655	0.342309613699803	0.650132897494055	0.503727494653035	0.204330760388503	0.330036164952746	0.342301149351986	0.241654545053808	0.287181787268874	0.383416209965377	0.215162443729118	0.524764556439463	0.333329224021942	0.470364713519121	0.581359274296056	0.146943383898948	0.482727915271222	0.744694571442844	0.771501397113498	0.368301054757785	0.132744434935593	0.468984986538735	0.206311587818145	0.4342849718992	0.478743850258019	0.067868939349648	0.0665459880530481	0.258245220069904	0.329337915350326	0.232666812299168	0.143574966825504	0.28648834130555	0.147188586576236	0.473543262934585	0.487784814236474	0.437311907862754	0.169101009311629	0.0553781485238315	0.277769053195878	0.604112292701075	0.287865811338179	0.258130688075275	0.514963532264013	0.573142890750853	0.4251043575958
Signature8	0.0919437159776461	0.110586602099575	0.468217313676318	0.160301951093715	0.660252108212253	0.107840539094301	0.108219770935759	0.108341838853368	0.321235803514656	0.307048752267996	0.284530983918899	0.578616393301827	0.0443859419375822	0.143487605062894	0.102135070088185	0.61187137045354	0.0974289613215818	0.112061334234214	0.101184983294024	0.701301556685024	0.090982555084559	0.125707546772304	0.159603009574253	0.105506367913964	0.144941107831901	0.250448161911344	0.138013762677604	0.0865142664242699	0.154265469889945	0.421753533008852	0.525860985406956	0.106636346213456	0.307988637458096	0.134587521241747	0.12704460422785	0.20493699189736	0.12882893552304	0.110894686267539	0.148033808699171	0.143909356510624	0.122646557490129	0.693039204405366	0.0767306831878238	0.337427479518803	0.518114331778909	0.535445701455864	0.163480389719622	0.108199979993105	0.256391461703567	0.0751762411703355	0.407690352026912	0.227622402537803	0.0340736215364829	0.0324454276551768	0.151626794763535	0.223310472550904	0.0734319634493024	0.101112536316025	0.192544669844456	0.111228998123661	0.0971749613849735	0.663704699711119	0.367623377144811	0.0830448289158214	0.0376563237302692	0.140076950884505	0.655083967063859	0.158838051341364	0.174214198314242	0.933187337266879	0.330913420013527	0.154006914846173
Signature9	0.0358615903217593	0.0398058963708789	0.298577538406941	0.137962656168626	0.245168461616931	0.0880444390866554	0.0424447387536923	0.0458764035374228	0.110003107456397	0.0642726848114464	0.191094695110872	0.52488162804104	0.0475172870280073	0.0599827730951466	0.050127831043839	0.124843749777828	0.0613138169098599	0.0849977228333552	0.0815047512490456	0.0864826913551141	0.208028422081105	0.940174503625197	0.134654184608856	0.0785457739928233	0.101786710537998	0.0598843022060376	0.125234307748223	0.0646545487459172	0.144912497511709	0.266886398750854	0.160021411273122	0.060552576518078	0.291811615722889	0.113250916707488	0.081594422791979	0.113005757400981	0.0809491295219289	0.0465351472710326	0.049053221580688	0.177161034283823	0.0953443605608305	0.180332347448678	0.068629517046177	0.197720055782824	0.328750980834525	0.189890029505452	0.130423622407866	0.140044859935886	0.139711743425439	0.0631851955780243	0.202894286921801	0.135436854116135	0.00945125389553756	0.0226693094889867	0.109217843249471	0.128428308042402	0.0386976571779596	0.0702467408413227	0.0919784393620821	0.0652166320018678	0.0578901528644523	0.136194316329805	0.119978952762291	0.0991856960988075	0.0395243882433214	0.103289140812676	0.114134320963002	0.095873874948645	0.0799250215691951	0.102529204098095	0.219282254616115	0.0927475657813878
