SBS1 SBS5 SBS18 SBS2 SBS13 SBS88 SBS35 SBS40 SBS41 SBS17b all_rtCa_toGT all_rtca all_CtoGT all_c rtCa_enrich all_ytCa_toGT all_ytca ytCa_enrich all_tCa_toGT all_tca tca_enrich all_tCw_toGT all_tcw tcw_enrich
PD37266_4 897.70705075673 1392.14056476441 262.385745732726 0 0 141.766638746133 0 0 0 0 34 1540 1567 45940 0.647262118863906 43 2275 0.554126664656339 77 3913 0.576903098682235 161 8286 0.569643231500038
PD37266_1 668.186656251429 1075.12882391861 155.257790670231 0 0 141.426729159729 0 0 0 0 26 1150 1173 34508 0.665115830831387 23 1658 0.408098583220984 49 2882 0.500177188215298 117 6156 0.559125150187204
PD37266_5 313.482438595713 398.613458552972 65.9041028513155 0 0 0 0 0 0 0 8 439 475 13693 0.525327898333533 12 677 0.51097255694628 20 1132 0.509317463269481 33 2515 0.378251752642042
PD37449_2 151.833727254235 233.32792869712 66.8383440486446 0 0 0 0 0 0 0 8 265 259 7963 0.928156188533547 2 393 0.156463988525057 10 676 0.45481026250257 23 1399 0.505460326046459
PD37449_4 762.9233672101 727.484359026504 357.816223239604 0 0 101.776050523792 0 0 0 0 22 1078 1142 34122 0.609778762643411 22 1644 0.399842765285643 44 2790 0.471212549196844 97 5976 0.484986355228269
PD37449_1 603.488146118025 753.248177369774 219.304547971049 0 0 0 0 0 91.9591285411533 0 24 982 984 28924 0.718394515920719 31 1408 0.647175836104952 55 2464 0.656122967479675 110 5142 0.628816410684527
PD37449_10 622.461213243051 804.165638262269 185.37314849468 0 0 0 0 0 0 0 14 941 977 28209 0.429567621718223 15 1312 0.330103820805352 29 2310 0.362475906897606 79 4980 0.458026784723336
PD37449_9 248.623543535334 197.118106632858 92.6981366643377 0 0 0 0 130.560213167469 0 0 5 363 393 11649 0.408281286143882 11 553 0.589608381762213 16 947 0.500802050670256 30 2000 0.444618320610687
PD37449_16 415.76661947539 449.531049937503 116.917770100233 0 0 137.784560486875 0 0 0 0 11 620 634 19201 0.537323191207897 14 977 0.433978347416446 25 1647 0.459706875515946 48 3422 0.424811066636922
PD37449_7 536.626873605106 667.568871668332 266.187934448508 139.953156101417 181.663164176636 0 0 0 0 0 36 1008 1129 31144 0.985195495381501 117 1537 2.09987016452166 153 2616 1.613370604822 289 5649 1.4112589747968
PD37449_5 547.020237005942 797.624125684266 192.82992393478 0 0 102.525713375013 0 0 0 0 21 894 911 28395 0.732158775296709 29 1380 0.655001670405193 50 2343 0.665152475575938 101 4946 0.636488788021499
PD37449_3 280.030764756268 244.396146717322 169.57308852641 0 0 0 0 0 0 0 4 390 404 12291 0.312033511043412 6 552 0.330687688334051 10 971 0.313318922005486 22 2102 0.318416689432978
PD37449_6 425.896509621603 426.377890761722 151.725599616675 0 0 0 0 0 0 0 3 552 620 17586 0.154154978962132 16 869 0.522246557036267 19 1464 0.368118720253834 40 3033 0.374078682875467
PD37449_8 533.743407339444 661.551979792124 217.704612868432 0 0 0 0 0 0 0 15 807 860 24526 0.530085588311576 21 1182 0.506675717152638 36 2048 0.501303597383721 83 4354 0.54364818237173
PD37449_18 23.7018496857438 25.0615719946278 0 0 0 55.2365783196284 0 0 0 0 1 56 35 1626 0.829591836734694 0 86 0 1 146 0.318199608610568 2 328 0.283275261324042
PD41851_9 2213.14562128527 2849.32663566976 953.990033081475 533.32413548676 464.213574476733 0 0 0 0 0 151 4274 4462 121327 0.960661359786075 349 6192 1.53257724285584 500 10729 1.26718099911353 951 22353 1.15683812261925
PD41851_3 1099.12675778101 1667.61745318134 330.565062582481 385.539367232939 439.151359222234 0 0 0 0 0 102 2336 2668 68600 1.12270491466595 291 3650 2.0499270912489 393 6135 1.64708599245609 749 12837 1.50022558246467
PD41851_8 1581.75176128609 2263.42405643897 646.144280290814 239.396225395191 187.283676588933 0 0 0 0 0 80 2829 3021 85659 0.80182448558219 180 4301 1.1866573603469 260 7326 1.00630286330386 491 15338 0.907684738581138
PD41851_2 1113.85929424042 1660.01574445509 497.463549268633 179.905262708743 132.756149327115 0 0 0 0 0 53 2016 2205 62699 0.747545036533132 141 3138 1.27766851801269 194 5303 1.04023658366483 348 11203 0.88327701338502
PD41851_7 1420.71476411017 1989.33270803122 609.040356324451 206.371030074367 160.541141459798 0 0 0 0 0 67 2558 2692 76503 0.744350823161204 149 3868 1.09472040562946 216 6576 0.933459235800046 407 13739 0.841865468600735
PD41851_5 1359.40516283937 1997.09381659676 478.501020563867 0 0 0 0 0 0 0 57 2189 2408 67558 0.730549075792736 101 3215 0.881374939935828 158 5565 0.796548492148066 279 11771 0.664983922139861
PD41851_4 1339.10027813876 2031.19078277839 416.708939082857 0 0 0 0 0 0 0 60 2209 2356 66860 0.770808722766334 62 3266 0.538724336867889 122 5628 0.615172379673305 261 11750 0.630367373478308
PD41851_1 1220.05385004822 1997.15047445316 493.795675498617 0 0 0 0 0 0 0 49 2207 2293 65264 0.631921861436404 105 3181 0.939496709159391 154 5532 0.792333799715504 293 11541 0.722593103946555
PD41851_11 1209.69039361503 1701.55273037736 426.955763400851 371.971088861818 444.830023744942 0 0 0 0 0 121 2442 2775 72545 1.29534128723318 285 3719 2.00337928678881 406 6304 1.68365973841862 728 13510 1.40870653036456
PD41851_6 1468.82467034802 1802.88381979813 591.735494367821 284.295724911535 277.260290574495 0 0 0 0 0 106 2702 2859 77460 1.06287907678662 210 3771 1.50878062910659 316 6661 1.28531917397364 562 13848 1.09954396193601
PD41851_10 1531.94308235712 2044.47258021485 627.315448671278 182.165775475611 186.103113281143 0 0 0 0 0 86 2736 2832 79866 0.886443465655665 124 3962 0.882624337990571 210 6884 0.860294443514315 417 14421 0.815472580593978
PD41851_14 93.3749313672643 118.055715228362 25.569353404373 0 0 0 0 0 0 0 2 148 149 4185 0.379557409758752 5 191 0.735268280684493 7 352 0.558553233679073 13 746 0.489456069956997
PD41852_10 1706.19500123047 2037.00461021422 511.800388555314 0 0 0 0 0 0 0 50 2470 2736 75497 0.55858163458579 102 3546 0.793734106133919 152 6185 0.678137069972155 312 13102 0.657098688562346
PD41852_1 1169.92589058988 1952.5420635163 437.532045893814 0 0 0 0 0 0 0 46 2038 2134 62383 0.659820026800997 61 3100 0.575227952958249 107 5269 0.593645828200987 203 11030 0.538012500626646
PD41852_9 1430.88999472547 1760.79322711892 413.319696581831 115.372264050965 103.624817522809 0 0 0 0 0 47 2153 2418 67158 0.606310774163583 99 3280 0.838306451612903 146 5587 0.725797790954809 280 11728 0.663094661796418
PD41852_3 860.753914271174 1334.36641806617 273.879667662658 0 0 0 0 0 0 0 34 1465 1548 43568 0.653187642758244 43 2101 0.57602200010577 77 3678 0.589217541833347 149 7641 0.548823547116112
PD41852_2 990.714079593097 1385.40377730783 410.882143099073 0 0 0 0 0 0 0 15 1591 1691 49069 0.273580210386559 46 2338 0.570922192111511 61 4040 0.438139158386566 133 8568 0.450438789748109
PD41852_4 1430.99891895215 1790.53332826252 439.75273351956 143.504642804678 130.210376461097 0 0 0 0 0 50 2329 2470 69399 0.603193669678043 124 3355 1.03844959182319 174 5820 0.840006260695355 339 12295 0.774689062569459
PD41852_11 1519.86330723895 1910.0777809572 463.058911803851 0 0 0 0 0 0 0 45 2327 2452 68410 0.539529573746312 70 3287 0.594151859294437 115 5768 0.556252163593704 232 11992 0.539753527909308
PD41852_8 1212.66304151096 1508.52190422232 428.815054266716 0 0 0 0 0 0 0 24 1841 1947 55464 0.37136646945244 33 2623 0.358394127567735 57 4597 0.353220245132067 129 9857 0.372812263128532
PD41852_6 1198.15786882144 1501.24980697575 309.382873039288 126.513561885759 92.695889277768 0 0 0 0 0 46 1866 2078 56532 0.670648564505198 95 2763 0.935387425685978 141 4754 0.80687961264978 270 10077 0.728922427242857
PD41852_17 442.648723159889 513.252247175561 172.78227091782 77.5967767972433 75.719981949487 0 0 0 0 0 32 788 827 22279 1.09399149270496 47 1139 1.11164038970097 79 1991 1.06892199905621 147 4092 0.967769417071207
PD41852_5 1297.61879749405 1733.47597314266 354.905229363288 0 0 0 0 0 0 0 33 1927 2168 59311 0.468498488176371 51 2770 0.503693533776493 84 4832 0.475585197698003 191 10277 0.508443827383686
PD41852_7 1233.71695123019 1592.30269889356 313.980349876249 0 0 0 0 0 0 0 32 1785 2055 56269 0.490872981796125 78 2643 0.808080841556404 110 4553 0.661534359046708 223 9508 0.642204080671725
PD41852_19 165.338898137283 173.517481864509 41.1436199982082 0 0 0 0 0 0 0 4 224 239 6823 0.509787806335923 7 330 0.605566121465703 11 574 0.547089353140991 20 1186 0.481418501767483
PD41853_6 1703.71311770779 1607.93456243107 400.35231986115 0 0 0 0 0 0 0 33 2054 2477 66768 0.433067767767256 41 3090 0.357657830683061 74 5302 0.37621348393146 152 11222 0.365103237793402
PD41853_3 1174.90937332165 1790.46750985337 205.62311682498 0 0 0 0 0 0 0 51 1874 2056 56260 0.744692889385363 93 2721 0.935257122510178 144 4729 0.833239396290625 264 9949 0.726107819138306
PD41853_11 1339.92701011657 1690.41504893412 223.657940949309 0 0 0 0 0 0 0 41 1854 2158 57987 0.59422829480731 68 2807 0.650947105954167 109 4788 0.611718417916896 210 10067 0.560529438857891
PD41853_8 1341.56896542287 1640.63636358481 257.79467099232 0 0 0 0 0 0 0 31 1846 2121 57654 0.456476865764273 66 2688 0.667426500303092 97 4647 0.567398047560912 202 9891 0.555136704363274
PD41853_14 1128.00186149046 1350.20377195166 257.794366557875 0 0 0 0 0 0 0 14 1570 1826 48761 0.238122379500631 34 2304 0.39406537133382 48 3981 0.321974064649363 124 8516 0.388828296661603
PD41853_5 1237.57914816291 1645.07751613729 242.343335699802 0 0 0 0 0 0 0 32 1818 2042 55893 0.481790000743463 59 2681 0.602361048346528 91 4614 0.539840527084668 186 9644 0.52790700555851
PD41853_10 1102.89367166903 1583.54680667 232.559521660974 0 0 0 0 0 0 0 21 1712 1871 52187 0.342140179423268 27 2512 0.299800721369069 48 4343 0.308276168374796 131 8996 0.40617238518503
PD41853_9 960.399966845911 1607.41621215671 225.183820997374 0 0 0 0 0 0 0 44 1596 1800 49949 0.765022277917015 59 2360 0.693736111111111 103 4066 0.702949527244904 188 8626 0.60478733544581
PD41853_4 1225.83177311557 1605.91526044183 191.2529664426 0 0 0 0 0 0 0 21 1774 2004 53801 0.317803232317777 40 2566 0.418500489278652 61 4456 0.367516873792809 144 9240 0.418391787852866
PD41853_2 518.14798715348 392.807952073526 95.0440607729936 0 0 0 0 0 0 0 6 599 692 18041 0.261143331371168 15 832 0.470026609048466 21 1472 0.371934099334004 33 3066 0.280605578996188
PD41853_7 1447.51195055186 1607.04415647037 322.681107085589 283.078966850841 258.68381904134 0 0 0 0 0 75 2354 2643 69566 0.838599644915747 195 3426 1.49812179414546 270 5936 1.19720836099629 527 12406 1.11809500596205
PD41853_1 373.761381799606 343.110248957924 42.1283692424698 0 0 0 0 0 0 0 7 410 515 13699 0.454146341463415 5 631 0.210776545166403 12 1073 0.297483690587139 20 2345 0.226865671641791
PD41853_18 36.7245526888955 16.2754473111045 0 0 0 0 0 0 0 0 0 32 41 966 0 0 53 0 0 90 0 2 176 0.267738359201774
PD42833_3 711.890391939161 998.714781099011 387.39482696183 0 0 0 0 0 0 0 23 1279 1256 36991 0.529619203896356 32 1781 0.529166681568002 55 3130 0.517517195417269 106 6582 0.47430141458949
PD42833_1 966.114232688195 1155.20617530486 511.679592006945 0 0 0 0 0 0 0 24 1578 1549 46128 0.452915777872146 34 2172 0.466157100107359 58 3852 0.448388971681056 116 8075 0.427788066604441
PD42833_2 828.725589406104 1065.43107979004 489.843330803859 0 0 0 0 0 0 0 25 1295 1393 42080 0.583169570965694 29 2059 0.425467377127084 54 3444 0.473647480808723 109 7227 0.455609800966723
PD42833_9 331.97729632885 359.840808311866 163.181895359283 0 0 0 0 0 0 0 6 483 533 15259 0.355633761784345 5 714 0.200479816692155 11 1240 0.253962658112934 43 2536 0.485420452056984
PD42833_11 84.2945943289401 115.316957987625 58.3884476834347 0 0 0 0 0 0 0 3 154 143 4477 0.60989010989011 5 221 0.708318830490776 8 391 0.640566594530789 13 823 0.49453219927096
PD42833_5 108.837201977388 158.339180158351 55.8236178642607 0 0 0 0 0 0 0 2 204 194 5743 0.290226399838286 6 281 0.63209450783285 8 497 0.476508535750586 20 1051 0.563331927374028
PD42833_10 60.7679493845078 65.5981399789072 19.6339106365851 0 0 0 0 0 0 0 2 78 96 2599 0.69417735042735 4 125 0.866333333333333 6 214 0.759053738317757 13 431 0.816584493426141
PD42833_4 79.0876803242967 159.967526387061 27.9447932886423 0 0 0 0 0 0 0 4 143 171 4717 0.771602666339508 15 238 1.73853752027127 19 392 1.33701814058957 28 844 0.915135389817355
PD42834_4 885.169626976637 1519.44809653019 485.382276493175 0 0 0 0 0 0 0 27 1659 1573 50426 0.521726834730287 37 2488 0.47673511814114 64 4267 0.480820668561683 126 9122 0.442798635659053
PD42834_3 779.051084901307 1033.67128954973 479.277625548965 0 0 0 0 0 0 0 24 1296 1294 40191 0.575176026103383 24 1921 0.388041712561158 48 3291 0.453010106247332 98 7140 0.426306936994272
PD42834_7 814.267863396375 1473.04040809502 376.691728508606 0 0 0 0 0 0 0 27 1495 1491 46322 0.561089614610741 49 2325 0.654760967237114 76 3933 0.600342797525896 151 8385 0.559478676871405
PD42834_2 701.381439129907 1306.39383034766 337.224730522431 0 0 0 0 0 0 0 18 1360 1302 41314 0.419971537001898 38 1990 0.605922083535959 56 3448 0.515355637053115 116 7250 0.507698924731183
PD42834_1 916.683261945209 1281.71140324263 576.605334812154 0 0 0 0 0 0 0 21 1603 1557 48362 0.406912857275076 41 2356 0.540535486269904 62 4062 0.474097222024579 121 8597 0.437173756823507
PD42834_5 904.684738942727 1372.42836875485 578.886892302424 0 0 0 0 0 0 0 27 1679 1628 49841 0.492317660125879 55 2461 0.684200555695883 82 4261 0.589161914789702 187 8989 0.636887276641421
PD42834_6 780.971632601588 1336.6472119834 539.381155415009 0 0 0 0 0 0 0 35 1621 1498 46633 0.672150570491274 42 2283 0.572697016959976 77 4009 0.597910542401093 166 8481 0.60931597827485
PD42834_12 105.926354936695 172.612830954117 47.4608141091888 0 0 0 0 0 0 0 3 190 183 5616 0.484555651423641 4 274 0.448007658250568 7 478 0.449413540023321 14 1039 0.413512362138879
PD42835_7 693.677681833482 1471.20884388189 241.113474284624 0 0 0 0 0 0 0 26 1321 1366 42322 0.609798025587342 38 2108 0.558506810838443 64 3531 0.561562035980832 147 7486 0.608391300657274
PD42835_5 679.131809843096 1276.60831680054 229.259873356362 0 0 0 0 0 0 0 30 1307 1290 38668 0.688030462091422 31 1914 0.485491644593489 61 3303 0.553583657797586 130 6773 0.575339612254311
PD42835_8 621.755219186833 1411.82948609885 193.415294714314 0 0 0 0 0 0 0 26 1268 1240 38779 0.641252416810827 37 1959 0.590666320868119 63 3306 0.59595383759733 126 6962 0.565993503905997
PD42835_1 873.938818481174 1247.28824267629 349.682865424157 83.6379006390437 99.4521727793374 0 0 0 0 0 44 1575 1628 46470 0.797425997425997 64 2275 0.803002403002403 108 3947 0.781042921909403 221 8331 0.757204892062652
PD42835_9 742.584827972972 1212.53151016205 180.896761944082 0 0 0 0 359.986899920898 0 0 32 1433 1421 43954 0.69072967397128 42 2094 0.620407356698237 74 3609 0.63423347955859 152 7642 0.615234782557447
PD42835_6 963.343364718864 1261.0169296534 309.639705627732 0 0 0 0 0 0 0 24 1490 1578 44840 0.457702809605226 39 2131 0.520043607581724 63 3717 0.481622306717364 156 7786 0.569336207426999
PD42835_3 757.369623343484 1402.81610185137 255.814274805143 0 0 0 0 0 0 0 20 1406 1388 42722 0.43783127887481 32 2082 0.47307648653063 52 3592 0.445583525349319 110 7441 0.455012670278041
PD42835_4 772.545008844936 1444.13718705195 262.317804103113 0 0 0 0 0 0 0 18 1338 1427 43608 0.411110517533412 34 2046 0.507826644499565 52 3500 0.454022624887376 120 7573 0.484234229023906
PD42835_2 918.939728765756 1561.47766301148 331.582608222761 0 0 0 0 0 0 0 38 1545 1695 49512 0.718448893089326 55 2375 0.676456450861667 93 4032 0.673756847871892 182 8741 0.608206468752183
PD42835_17 57.4531099010731 93.1759191226604 28.3709709762663 0 0 0 0 0 0 0 0 116 101 3148 0 1 149 0.209183334440827 1 266 0.11717412342738 7 549 0.397410232826561
PD43400_2 718.947067050317 1060.05481755692 223.998115392767 0 0 0 0 0 0 0 29 1136 1238 35226 0.72637744886118 26 1634 0.452755757598527 55 2844 0.550269933130202 106 6072 0.496725880707759
PD43400_3 1050.76736724433 1207.47056459062 406.762068165043 0 0 0 0 0 0 0 28 1539 1637 47354 0.526292767598537 40 2207 0.5242828463552 68 3839 0.51238781225321 134 8116 0.477607073729035
PD43400_4 1040.41578927689 1123.69652338483 411.887687338278 0 0 0 0 0 0 0 16 1507 1583 45622 0.305984999042162 19 2215 0.247214121827715 35 3824 0.263781033840201 90 8070 0.321412216698331
PD43400_1 807.490355128449 1060.63676120998 182.872883661567 0 0 0 0 0 0 0 18 1101 1301 36277 0.455868154238932 25 1692 0.411996681948601 43 2869 0.4179188649962 99 6175 0.447046090363377
PD43400_9 750.041648251729 816.824382194517 190.133969553753 0 0 0 0 0 0 0 23 1016 1152 31076 0.610670248250219 38 1475 0.694967043314501 61 2552 0.644795204197144 117 5399 0.584581635488053
PD43400_7 614.375652513437 710.497479666796 125.126867819767 0 0 0 0 0 0 0 17 822 927 25760 0.574702687947674 15 1174 0.355049811724362 32 2060 0.431667033231742 59 4381 0.374235414424404
PD43400_5 1359.52635273755 1364.71126878675 241.418625930382 0 0 0 0 456.343752545318 0 0 23 1985 2148 60490 0.326299668369381 35 2780 0.354545972160819 58 4898 0.333471344287525 147 10384 0.398659357757099
PD43400_8 50.2730884513651 70.4319173755891 7.29499417304576 0 0 0 0 0 0 0 2 81 78 2256 0.714150047483381 1 87 0.332449160035367 3 176 0.493006993006993 6 400 0.433846153846154
PD43401_1 240.120531036137 565.188180202697 0 79.7439600293913 136.947328731775 0 0 0 0 0 29 602 675 18011 1.28539190353144 72 969 1.98263501891985 101 1619 1.66459497174754 191 3338 1.52679626300956
PD43401_5 449.947933582035 969.408743674182 138.643322743785 0 0 0 0 0 0 0 16 953 940 27385 0.489116117077091 14 1308 0.311820873186284 30 2323 0.376233044210989 77 4862 0.461382015981515
PD43401_8 142.533764132761 290.783681441785 41.6825544254537 0 0 0 0 0 0 0 7 266 283 8434 0.78426631950902 6 399 0.448152182576583 13 687 0.563941138045787 22 1455 0.450616249559822
PD43401_3 387.615763103535 832.0209964493 78.3632404471644 0 0 0 0 0 0 0 21 744 803 22903 0.805050616639216 12 1065 0.321372318594005 33 1858 0.506576522110975 74 4022 0.524766957326237
PD43401_2 233.457189500426 453.304544374199 53.2382661253757 0 0 0 0 0 0 0 7 445 447 12987 0.457024357137471 7 602 0.337833619478695 14 1072 0.379432535310027 39 2242 0.505394272850822
PD43401_4 423.74844506004 1113.33953640272 100.912018537243 0 0 0 0 0 0 0 15 909 984 28719 0.481616759236899 11 1406 0.228339780730666 26 2377 0.31924079337554 79 5016 0.459667478702299
PD43401_7 214.035471368276 312.667881584701 81.2966470470237 0 0 0 0 0 0 0 6 364 366 10798 0.486308773194019 3 498 0.177727302653236 9 895 0.29667551973624 23 1828 0.371205055541605
PD43401_9 102.28865008655 179.880187546369 25.8311623670816 0 0 0 0 0 0 0 5 176 198 5515 0.791293617998163 5 270 0.515806210250655 10 456 0.610823143717881 15 970 0.430724773508279
PD43402_8 1109.85680200956 1507.74568680458 394.397511185866 0 0 0 0 0 0 0 32 1840 1845 52848 0.498154825026511 53 2558 0.593481950456721 85 4523 0.538300178491504 174 9371 0.531857755243863
PD43402_5 834.836583654835 1393.41917710203 239.744239243131 0 0 0 0 0 0 0 26 1497 1478 42906 0.504191061419185 36 2075 0.503649020982441 62 3657 0.492164544020532 130 7589 0.497281604259138
PD43402_18 472.673732190619 658.781944983056 130.544322826324 0 0 0 0 0 0 0 21 784 805 22074 0.734494232475599 26 1069 0.666930840339552 47 1904 0.676886841693199 80 3949 0.555505049631246
PD43402_10 424.363766931606 830.680609500554 165.955623567842 0 0 0 0 0 0 0 12 822 819 24724 0.440701229022397 21 1114 0.569074253095797 33 2015 0.494394604568302 73 4318 0.510358150932491
PD43402_17 321.551326764247 284.111367770704 135.337305465049 0 0 0 0 0 0 0 10 422 478 13193 0.654038350948859 7 596 0.324165988037404 17 1054 0.445168038871643 37 2249 0.45407535845778
PD43402_23 200.388030297605 326.046116689457 40.5658530129374 0 0 0 0 0 0 0 5 356 351 9802 0.392218060757387 7 477 0.409814426585915 12 860 0.389664082687338 23 1806 0.355645789754317
PD43402_2 879.57975828641 1071.39512292787 220.025118785721 0 0 0 0 0 0 0 26 1250 1396 38672 0.576201719197708 27 1835 0.407604443993348 53 3175 0.462427182275568 106 6688 0.439056909008651
PD43402_6 615.393720684192 908.997490805127 153.073927438423 84.4685417935473 103.066319278712 0 0 0 0 0 33 1116 1190 32614 0.810413842956537 65 1616 1.10237436558782 98 2801 0.958892832391793 205 5886 0.954532475579426
